song_id,title
SOQMMHC12AB0180CB8,
SOVFVAK12A8C1350D9,Aahatein- Splitsvilla(Single)
SOGTUKN12AB017F4F1, Aankhen Teri- MTV Unplugged(Single)
SOBNYVR12A8C13558C, Afeemi- Meri Pyaari Bindu
SOHSBXH12A8C13B0DF, Bolna- Kapoor & Sons
SOZVAPQ12A8C13B63C, Der lagi lekin- Zindagi na milegi doobara
SOQVRHI12A6D4FB2D7, Duaa- Shanghai
SOEYRFT12AB018936C, Hasi- Hamari adhuri kahani
SOPMIYT12A6D4F851E, Hoor- Hindi medium
SOJCFMH12A8C13B0C2,Humdard- Ek villain
SOYGNWH12AB018191E, Humsafar- Badrinath ki dhulania
SOLJTLX12AB01890ED, Illahi- Yeh jawaani hai deewani
SOQQESG12A58A7AA28, Jaise mera tu- Happy ending
SOMPVQB12A8C1379BB, Jee le zara- Talaash
SOGPCJI12A8C13CCA0, Jeete hai chal- Neerja
SOSDCFG12AB0184647, Judaai- Badlapur
SOBARPM12A8C133DFF, Kahin to- Jane tu ya jane na
SOKOVRQ12A8C142811, Kaise mujhe- Ghajini
SOIMMJJ12AF72AD643, Kun faya kun- Rockstar
SOVMBTP12A8C13A8F6, Laakh duniya kahe- Talaash
SOOUESZ12AB0189AFD, Mere humsafar- All is 
SOAGMGG12A6D4F9099,le aaya dil- Barfi!
SOGFWVT12A8C137C64,Preet- Khoobsurat
SOKLPMH12AB01861FA,Raabta- Agent Vinod
SOEPAIN12A8C1396A7, Rehnuma- Rocky Handsome
